2022-01-12T04:04:50.865796100Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventQueue$4.run(Unknown Source)

2022-01-12T04:04:50.866795900Z W/ThemeManager.getActiveTheme/ 	at java.base/java.security.AccessController.doPrivileged(Unknown Source)

2022-01-12T04:04:50.867795900Z W/ThemeManager.getActiveTheme/ 	at java.base/java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(Unknown Source)

2022-01-12T04:04:50.868794600Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventQueue.dispatchEvent(Unknown Source)

2022-01-12T04:04:50.869794300Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.pumpOneEventForFilters(Unknown Source)

2022-01-12T04:04:50.870793900Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.pumpEventsForFilter(Unknown Source)

2022-01-12T04:04:50.871795600Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.pumpEventsForHierarchy(Unknown Source)

2022-01-12T04:04:50.872795300Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.pumpEvents(Unknown Source)

2022-01-12T04:04:50.873795900Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.pumpEvents(Unknown Source)

2022-01-12T04:04:50.874795200Z W/ThemeManager.getActiveTheme/ 	at java.desktop/java.awt.EventDispatchThread.run(Unknown Source)

2022-01-12T04:04:50.878796800Z I/Access.checkAndSetDefaultPaths/ Archives folder manifest: -194504353, -148801118, -1592073186, 1358039686, -1409801573, -369591751, -700656885, -700655925, 1062284747, 88767989, 88769911, 88771833, -1265083236, -1265083235, 1517263448, 144853440, 1517263477, 1517263479, 1517263480, -995917933, 424369407, 425855435, -167441674, 587485645, 1559603688, 424369406, -938802086, -161229335, -161229308, 405132945, 195972455, 195972393, 195972462, -1015579398, 3565762, 3565763, 1257734248, -1603691435, -1603691463, -1265084196, 756395544, 1450364409, 166157694, 1117599825, -728886847, -2085438405, 193067668, 1472271170, 1472273092, 151711442, -1172166946, -129000890, -1501612828, 1109152920, -2054135756, 1449420597, 498069826, -1515095320, -401865938, 1297568899, 1297569859, 1297569860, 158105783, 4120323, -1591782263, 82801957, 1164460297, 1214238168, 1221876693, 50293676, 1810578463, -2091067630, -2091066668, 1321544566, -1015579399, 746518064, -1106969175, 162857929
2022-01-12T04:04:50.879797100Z I/Access.checkAndSetDefaultPaths/ Game: C:\Program Files (x86)\Fractal Softworks\Starsector - Playground
2022-01-12T04:04:50.880794500Z I/Access.checkAndSetDefaultPaths/ Archives: C:\Users\whitm\SMOL\archives
2022-01-12T04:04:50.881795200Z I/Access.checkAndSetDefaultPaths/ Staging: C:\Users\whitm\SMOL\staging
2022-01-12T04:04:51.747795800Z W/UiUtilsKt.isJCEFEnabled/ java.nio.file.NoSuchFileException: libs

2022-01-12T04:04:51.748794300Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/sun.nio.fs.WindowsException.translateToIOException(Unknown Source)

2022-01-12T04:04:51.750797Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/sun.nio.fs.WindowsException.rethrowAsIOException(Unknown Source)

2022-01-12T04:04:51.751796900Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/sun.nio.fs.WindowsException.rethrowAsIOException(Unknown Source)

2022-01-12T04:04:51.753793900Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/sun.nio.fs.WindowsDirectoryStream.<init>(Unknown Source)

2022-01-12T04:04:51.754794500Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/sun.nio.fs.WindowsFileSystemProvider.newDirectoryStream(Unknown Source)

2022-01-12T04:04:51.756794400Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/java.nio.file.Files.newDirectoryStream(Unknown Source)

2022-01-12T04:04:51.757794500Z W/UiUtilsKt.isJCEFEnabled/ 	at java.base/java.nio.file.Files.newDirectoryStream(Unknown Source)

2022-01-12T04:04:51.759794Z W/UiUtilsKt.isJCEFEnabled/ 	at kotlin.io.path.PathsKt__PathUtilsKt.listDirectoryEntries(PathUtils.kt:398)

2022-01-12T04:04:51.760796200Z W/UiUtilsKt.isJCEFEnabled/ 	at kotlin.io.path.PathsKt__PathUtilsKt.listDirectoryEntries$default(PathUtils.kt:397)

2022-01-12T04:04:51.760796200Z W/UiUtilsKt.isJCEFEnabled/ 	at smol_app.util.UiUtilsKt.isJCEFEnabled(UiUtils.kt:173)

2022-01-12T04:04:51.761795400Z W/UiUtilsKt.isJCEFEnabled/ 	at smol_app.toolbar.ToolbarKt.modBrowserButton(Toolbar.kt:50)

